experiment_id,channel,no_clear_event,start_time_min,start_temp_c,maximum_time_min,maximum_temp_c,end_time_min,end_temp_c,notes
EJ02A1,TC16,True,,,,,,,no clear cooling event
EJ02A2,TC1,False,118.733333,-13.9,121.983333,-8.6,140.116667,-9.8,
EJ02A2,TC2,False,81.816667,-11.0,84.366667,-7.4,110.683333,-9.1,
EJ02A2,TC3,False,90.383333,-11.2,92.3,-6.2,119.516667,-8.4,
EJ02A2,TC4,False,90.116667,-12.0,93.433333,-9.8,120.45,-11.4,
EJ02A2,TC5,False,106.7,-13.0,110.333333,-9.7,133.633333,-10.4,
EJ02A2,TC6,False,115.433333,-13.0,117.25,-8.8,138.916667,-10.2,
EJ02A2,TC7,False,94.633333,-12.4,97.216667,-7.0,117.4,-8.5,
EJ02A2,TC8,False,117.25,-14.4,120.533333,-11.4,140.5,-12.4,
EJ02A2,TC9,False,95.316667,-12.0,97.35,-8.8,121.683333,-10.4,
EJ02A2,TC10,False,141.133333,-14.6,145.1,-9.7,163.666667,-11.0,
EJ02A2,TC11,False,123.1,-14.0,126.3,-10.6,146.833333,-11.0,
EJ02A2,TC12,False,151.95,-14.1,154.9,-7.7,172.466667,-9.4,
EJ02A2,TC13,False,128.166667,-14.0,132.55,-8.6,151.3,-10.3,
EJ02A2,TC14,True,,,,,,,no clear cooling event
EJ02A2,TC15,False,137.85,-14.8,141.05,-7.3,157.733333,-8.9,
EJ02A2,TC16,True,,,,,,,no clear cooling event
EJ03A1,TC1,False,60.483333,-6.0,62.0,-4.6,103.6,-7.5,
EJ03A1,TC2,False,63.683333,-6.4,65.483333,-4.9,109.8,-8.4,
EJ03A1,TC3,False,62.116667,-5.6,63.016667,-4.2,112.283333,-8.0,
EJ03A1,TC4,False,62.316667,-5.7,64.366667,-4.4,106.233333,-7.3,
EJ03A1,TC5,False,97.366667,-10.8,99.45,-8.8,128.666667,-11.7,
EJ03A1,TC6,False,81.716667,-9.6,83.15,-6.6,114.733333,-9.1,
EJ03A1,TC7,False,70.116667,-8.0,71.7,-4.9,106.383333,-7.2,
EJ03A1,TC8,False,79.033333,-10.1,81.65,-8.6,113.35,-10.9,
EJ03A1,TC9,False,62.783333,-6.5,65.833333,-5.2,106.55,-7.9,
EJ03A1,TC10,False,65.266667,-6.8,67.25,-5.3,111.85,-8.4,
EJ03A1,TC11,False,64.05,-6.6,67.25,-5.8,113.883333,-9.5,
EJ03A1,TC12,False,74.616667,-8.5,76.566667,-6.5,107.85,-7.9,
EJ03A1,TC13,False,155.0,-15.6,157.6,-9.8,174.033333,-10.9,
EJ03A1,TC14,False,128.033333,-14.8,130.616667,-10.7,151.5,-11.4,
EJ03A1,TC15,False,127.383333,-14.9,129.866667,-8.1,148.866667,-9.4,
EJ03A1,TC16,True,,,,,,,no clear cooling event
EJ03A2,TC1,False,59.733333,-5.7,61.533333,-4.7,101.216667,-7.5,
EJ03A2,TC2,False,68.066667,-6.4,70.283333,-5.5,111.25,-9.0,
EJ03A2,TC3,False,65.733333,-5.0,68.1,-3.9,112.266667,-7.9,
